timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], temperature.gpu, power.draw [W]
2025/03/09 23:29:26.160, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 9.93
2025/03/09 23:29:26.161, 6, NVIDIA RTX 6000 Ada Generation, 0, 39, 49140, 3, 26, 12.04
2025/03/09 23:29:26.162, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.46
2025/03/09 23:29:27.163, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.80
2025/03/09 23:29:27.164, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.23
2025/03/09 23:29:27.165, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.93
2025/03/09 23:29:27.166, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.51
2025/03/09 23:29:27.167, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.48
2025/03/09 23:29:27.168, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.00
2025/03/09 23:29:27.169, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.04
2025/03/09 23:29:27.170, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.49
2025/03/09 23:29:28.172, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.80
2025/03/09 23:29:28.173, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.28
2025/03/09 23:29:28.174, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.90
2025/03/09 23:29:28.175, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.45
2025/03/09 23:29:28.176, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.54
2025/03/09 23:29:28.177, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.09
2025/03/09 23:29:28.178, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.04
2025/03/09 23:29:28.179, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.56
2025/03/09 23:29:29.180, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.77
2025/03/09 23:29:29.181, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.38
2025/03/09 23:29:29.182, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.92
2025/03/09 23:29:29.183, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.42
2025/03/09 23:29:29.184, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.52
2025/03/09 23:29:29.185, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.18
2025/03/09 23:29:29.186, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.15
2025/03/09 23:29:29.187, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.58
2025/03/09 23:29:30.189, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.74
2025/03/09 23:29:30.190, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.38
2025/03/09 23:29:30.191, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 5.01
2025/03/09 23:29:30.192, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.33
2025/03/09 23:29:30.193, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.51
2025/03/09 23:29:30.194, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.19
